index:ID,name,作   者,作者机构,关键词,期刊名称,i s s n,年卷期,页   码,摘   要,:LABEL
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40001,大荔日光温室冬枣生产技术,郭文侠; ,陕西省大荔县设施农业发展中心; ,,西北园艺(综合),1004-4183,2020 年 01 期,29-31,"1棚体建造1.1选址适宜日光温室冬枣生产的建棚地址应为地面开阔、避风向阳、无高大树木和建筑物遮阴的场地,同时要求土壤肥沃、排水灌溉方便、水质良好、交通便利、供电方便。1.2规划温室前后应设置排水沟,前后棚之间要设计合理的棚间距,主干道两侧设置排水道,排水沟与主干道连接,确保雨水顺畅排除。有条件的可在地下深埋暗管或用机械排水。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40002,乐陵金丝小枣无公害丰产栽培措施,张秀花;  李真;  向小林; ,山东省德州市林业局;, ,河北果树,1006-9402,2017 年 06 期,43-45,"1建园1.1园地选择枣树属浅根性强喜光树种,建园时选择无农药残留、地形开阔、土壤肥沃、渗透性强、通气性好、地下水位较高的砂壤土或壤土建园。土壤p H值小于8.4,含盐量小于0.3%。建园前对园区道路、排灌系统、防护林、建筑物等进行统一规划。1.2品种及苗木选择选择优良品种金丝小枣新1号、新2号、新3号、新4号,乐陵金丝小枣金1号、金2号,乐陵无核金丝小枣1号、2号。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40003,果园土壤改良三措施,翟洪民; ,山东省枣庄市山亭区农业局; ,,烟台果树,1005-9938,2007 年 04 期,51,"改良土壤的理化性质,增加土壤有机质含量是果树定植前的重要工作,对以后果树的生长发育将产生重要影响。1改良沙荒地沙荒地地面高低不平,土壤有机质含量低,保水保肥力差。因此必须进行平整改良,改善土...",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40004,新建枣园定植技术,王守魁; ,,,甘肃农业科技,1001-1463,1991 年 04 期,28,"1.园地选择:枣树的适应性较强,但在土壤疏松、土层深厚、肥水充足的条件下生长发育会更良好。有计划地在耕地栽种枣树,实行枣粮间作,是发展立体农业、增产增收、建设新枣园的有效途径。沙荒地和新开发地区建园时,应先种植绿肥作物,或采取施用有机肥料、深翻熟化等土壤改良措施,并要做好整地、渠系配套、林带建设和肥料准备等工作。渠系、田间地埂和庭院四旁也是发展枣树的理想地带。可充分利用土地和光热资源,利于建设多功能、高效益的复合林果业商品生产基地。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40005,枣园管理技术,韩俊; ,临夏州农业学校; ,,农业科技与信息,1003-6997,2007 年 10 期,27-28,"1土壤管理1.1土壤改良丘陵山地枣园采用整修梯田、鱼鳞坑和挖水平沟等工程措施,积蓄雨水、减少径流量,并结合种草、营造防护林等生物措施防止水土流失,蓄水保肥,改良枣园内土壤状况。沙荒地及土层瘠薄的枣园,分别采用广种绿肥、深翻施肥和引洪积淤、掺沙、扩穴、客土等措施,以加厚土层,改良土壤通气状况,提高土壤肥力,改良根系生长条件。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40006,盐碱地育树苗的几个问题,,,,新农业,1002-4298,1973 年 07 期,25,"1.圃地选择和土壤改良圃地应选择土壤肥沃,水源充足,能灌能排,地下水位低于1.2米,土壤全盐量在0.2%以下的轻度盐渍土,对杨树、刺槐、辽宁沙枣、尖叶花曲柳、桑、柳、紫穗槐等树种育苗,均可达到较好效果。如地势低洼,排水不良,盐分较重的盐碱地,可建台田淋盐洗碱,台面宽10～20米,长依地形地势而定,一般为100～300米。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40007,发润土壤改良剂对盐碱地土壤改良效果试验,黄然;  刘多红;  党学敏;  苗书坤; ,和田二二四团机关;  和田二二四团一连; ,,农村科技,1002-6193,2010 年 12 期,21-22,"224团目前已建成1.2万公顷自压节水灌溉特色林果种植基地。由于管理制度不健全、规划设计缺乏排水系统等诸多因素,导致部分土壤次生盐渍化现象严重。2010年4月,为降低土壤含盐量,提高土壤通透性,以提高林木生长水平,提高产量和改良品质,224团农业科技发展中心进行了发润土壤改良剂试验设计,在学校绿化带、一连骏枣园进行了为期半年的试验。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40008,吉林省西部经济树种治理盐碱地模式研究,钟文玉;  张孝波;  谭明霞; ,吉林省通化市二道江区林业局; ,盐碱地;  模式;  经济树种;  对比试验; ,防护林科技,1005-5215,2016 年 12 期,23-25+45,"通过对盐碱地适宜经济树种的筛选,按照自然环境中树种与草种搭配、树种与树种搭配等盐碱地治理模式,并以造林成活率、经济效益、治理前后土壤有效成分等为主要指标开展了对比试验,选出经济效益好、治理效果明显的优良经济树种,结果表明:西伯利亚白刺、宁杞一号、大麻叶及内蒙古种源沙枣等耐盐碱树种,从存活率方面看,枸杞新品种对于中度盐碱地治理表现最好;西伯利亚白刺羊草复合模式对于重度盐碱地治理表现较好;内蒙古种源沙枣模式对于轻度盐碱地治理表现中等。从经济效益方面看,枸杞模式最好;改良土壤方面看,西伯利亚白刺模式最好。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40009,北方泥质海岸防护林生态工程的研究,李绍忠; ,辽宁省林业科学研究院; ,防护林，土壤盐渍化，造林，泥质海岸; ,应用生态学报,10019332,1996 年 7 卷 02 期,,对泥质海岸防护林体系建设中造林树种选择、土壤改良和生态工程造林技术措施的分析表明，在轻度盐碱地可栽植绒毛白蜡、群众杨、刺槐、１０９柳；在中度盐碱地修台田并压沙后可栽植沙枣、群众杨、刺槐、绒毛白蜡及辽河杨耐盐品系；在苏打盐渍土地修台田压稻乱后栽植沙枣、辽河杨耐盐品系；在重盐土地上进行土壤改良及工程措施后栽植柽柳、沙枣．...,枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40010,不同改良措施对关中典型设施盐碱土质量的影响,陈智坤;  冯璞阳;  井光花;  张锋;  任英英;  黄标; ,陕西省生物农业研究所;  陕西省科学院土壤资源与生物技术应用重点实验室陕西省西安植物园(陕西省植物研究所); ,改良措施;  盐碱土;  设施土壤;  土壤肥力综合指数; ,北方园艺,1001-0009,2020 年 020 期,83-91,"为改善关中典型设施盐碱土质量,通过在大荔盐碱土中对设施冬枣种植区设置常规管理(S0)、生物有机肥(S1)、农家土粪肥(S2)和玉米秸秆覆盖(S3)4个改良土壤处理,以土壤肥力综合指数(IFI)为评价指标,分析了不同改良措施对关中典型设施盐碱地不同土层质量的影响,以期改善关中典型设施盐碱土质量.结果表明:改良措施不同程度地降低土壤碱性和盐性;生物有机肥和腐熟牛粪添加显著降低土壤pH,而玉米秸秆覆盖对土壤pH无显著影响,但玉米秸秆覆盖脱盐率最高;改良措施总体提高土壤养分和土壤肥力综合指数,且不同改良措施对各土壤养分含量和土壤肥力影响有所差异;生物有机肥和农家土粪肥显著提高盐碱化土壤养分和肥力,生物有机肥使0~20 cm的土壤阳离子交换量、碱解氮、有机质、速效磷、速效钾和土壤肥力综合指数分别增加了29.1%、262.4%、35.9%、596.8%、91.9%和71.5%;秸秆覆盖在一定程度上增加耕作层土壤肥力指数,但对深层土壤肥力的提高有限.因此,关中典型设施盐碱地综合改良过程合理施用生物有机肥对土壤整体质量具有明显改善效果.",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40011,土壤改良剂对枣园盐碱地改良效果,郭建果; ,兵团第十三师红星二场; ,,农村科技,1002-6193,2016 年 03 期,33-34,"哈密地区年均气温10.0℃,年均降雨量38毫米,具有日照时间长、昼夜温差大、干燥少雨的气候特点,为果树种植提供了得天独厚的气候优势。土壤含盐碱重,是制约果树发展的主要因素之一,试验选用超天牌土壤改良剂,在红星二场盐碱重的枣树地进行改良试验。一、试验目的通过田间试验,验证超天牌土壤改良剂对哈密...",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40012,沙枣引种试验初报,徐森; ,连云港市果林科学研究所; ,,江苏林业科技,1001-7380,1984 年 02 期,26-28,"沙枣(Elaeagnus.angustifolia L.)又名桂香柳,系胡颓子科落叶乔木,主要分布在我国西北各省、区和华北的西北部.它的生命力极强,具有耐风沙(在沙随风走的流动沙区,能随沙埋而茁壮生长)、抗盐碱(在2—10‰的盐碱地上栽植,既能降低地下水位,又能减少盐分改良土壤),能忍受土壤及大气干旱(在年蒸发量为降雨量30倍,地表温度达70℃的沙漠里,也不至于被灼伤)、耐瘠薄(栽植既不需要灌溉施肥,也不必中耕除草,全凭发达的根系,产生根瘤菌来熟化土壤,生长成材),是营造防风固沙林、护岸固堤林和水土保持林的优良树种.由于它根系发达树干扭曲,枝叶茂盛,冠幅大,花香果肥,木材坚实致密,又是四旁绿化、庭园观赏及用材的好树种.",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40013,无核小枣无公害优质栽培技术,于永祯; ,河北省青县林业局; ,,现代农村科技,1674-5329,2012 年 16 期,37-38,"1土壤改良与管理1.1土壤改良。盐碱地枣园要修排水沟;黏土地要结合增施有机肥,施入一些粉碎的庄稼秸秆;纯沙土地要在增施有机肥的同时进行深翻,使底层黏土混入沙层。1.2土壤管理。刨除根蘖,深翻树盘,中耕除草。2肥料选择与施用基肥选用腐熟有机肥,每年秋季果实采收后每亩枣园增施优质有机肥3000～5000kg,施基肥方法以环状沟施或交替平行沟施肥为宜,沟深40～50cm。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40014,燃煤烟气脱硫废弃物改良土壤种植沙枣效果研究,王静;  孙兆军;  张浩;  李茜;  李明; ,宁夏林业局;  宁夏大学新技术应用研究开发中心; ,盐碱土;  沙枣;  效果;  改良;  燃煤烟气脱硫废弃物; ,中国农学通报,1000-6850,2011 年 27 卷 28 期,98-102,"为了有效利用燃煤烟气脱硫废弃物(简称脱硫废弃物),探究沙枣作为改良盐碱地先锋树种的可行性。采用大田试验的方法,从土壤pH、全盐含量、碱化度(ESP)和常见离子相对含量的变化等方面,研究了脱硫废弃物改良后龟裂碱土种植沙枣的效果。结果表明:随着林木生长时间的延长,脱硫废弃物改良后的土壤pH、可溶性盐和碱化度(ESP)均有不同程度降低,pH、可溶性盐和碱化度(ESP)分别由初始的9.50、46g/kg和5.3%下降到8.31、11.4g/kg和3.1%;脱硫废弃物改良土壤种植沙枣,且达到3年,土壤的改良效果最为明显。以上结果表明,脱硫废弃物可有效降低土壤中交换性钠、交换性镁的相对含量,降低其对植物的毒害作用,改善土壤化学性质,从而有利于林木的生长和发育。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40015,沙枣木虱研究初报,王克让; ,塔里木农垦大学; ,,新疆农业科学,1001-4330,1978 年 01 期,27-30,"沙枣耐盐碱、耐干旱、耐贫瘠,繁殖,生长迅速,是塔里木河两岸盐碱地区营造防护林、薪炭林和改良土壤的主要树种之一。但是,近年来有一种木虱害虫,偏嗜沙枣,一九七一年以前危害尚轻,以后逐渐蔓延,致使沙枣树100％被害,每叶有虫50—60头至百余头,被害叶片背面卷曲皱缩,黄化凋萎(仍固着在枝条上),被害嫩枝变为臃肿、扭曲和萎缩,有的整枝整枝枯死。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40016,三种土壤改良剂对盐碱地冬枣园的影响,滕传亮; ,河北省黄骅市林业技术推广站; ,,河北果树,1006-9402,2020 年 01 期,56,"黄骅地处渤海之滨土地盐渍化程度较高,对冬枣的生长影响较大。2018年在黄骅市旧城镇小六间房冬枣园进行了不同改良剂对冬枣园土壤改良效果和冬枣产量的影响试验。1材料和方法1.1试验地试验于2018年在黄骅市旧城镇小六间房冬枣园进行,试验地平整一致,土质均匀,土壤含盐...",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40017,辽宁滨海盐碱地土壤改良及造林技术研究,孟康敏;  杨秀清;  潘文利;  于雷; ,辽宁省林业科学研究院; ,滨海盐渍土，造林，土壤改良; ,林业科学,1001-7488,1997 年 33 卷 01 期,,试验于１９８９年至１９９５年设置在辽宁渤海湾泥质海岸的轻、中、重盐碱土和苏打盐渍土４块试验地上。在盘锦市大洼县拦海防潮堤含盐量为１０ｇ／ｋｇ的重盐土上筛选柽柳为先锋树种，五年后土壤盐分下降到４ｇ／ｋｇ左右。凌海市建业乡苏打盐渍土上沙枣可为抗碱耐涝先锋树种。在中盐碱地，群众杨、１０９柳与紫穗槐混交树高比纯林分别提高３％、１０％；胸径提高１２％、２５％。轻盐碱地可栽种群众杨、绒毛白蜡、１０９柳、刺槐，建立速生丰产林基地。,枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40018,基于栽植沙枣的晋北盐碱地土壤改良处理组合研究,王慧;  解文斌;  刘宁;  姚延梼;  张嘉融; ,山西农业大学林学院;  山西太谷国土资源局; ,土壤改良剂;  晋北盐碱地;  沙枣;  处理组合; ,水土保持学报,1009-2242,2016 年 30 卷 04 期,281-287,"以晋北盐碱地为研究对象,采用裂区设计下的机械穴状整地方式栽植沙枣,并在栽植穴内施用3个水平的黑矾、糠醛渣和脱硫石膏3种土壤改良剂,组合使用炉灰渣和河卵石2种隔离层材料以及石块和砂2种覆盖层材料,通过连续2a监测沙枣幼苗的生长存活以及栽植穴内土壤的理化性质,并计算隶属函数值,以选择最佳的土壤综合改良处理组合。结果表明:(1)土壤改良处理组合显著影响了沙枣幼苗的存活和相对生长,其中隔离层炉灰渣+0.25kg黑矾混合原位盐碱土+覆盖层石块和隔离层炉灰渣+0.50kg黑矾混合盐碱土+覆盖层砂的2种处理组合下的沙枣全部存活且苗高(分别为6.53cm和7.29cm)和地径(分别为0.43cm和0.37cm)相对生长量显著高于对照。(2)与对照相比,大部分土壤改良处理组合下栽植穴内的土壤含水量有所下降,土壤电导率在以黑矾和糠醛渣为土壤改良剂的处理组合中显著下降,土壤pH值则在以黑矾和脱硫石膏为土壤改良剂的处理组合中显著下降。(3)综合考虑所栽植沙枣幼苗的表现和栽植穴内土壤的理化性质,通过计算隶属度值,初步得出隔离层炉灰渣、中间层0.25kg黑矾混合盐碱土和覆盖层石块的土壤改良处理组合在有效降低土壤盐碱度的同时最有利于沙枣的生长和存活。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40019,印度青枣环境及定植前管理,,,青枣;  环境条件;  定植;  印度;  管理工作; ,农民科技培训,1671-3346,2003 年 000 卷 006 期,14,,枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40020,枣果冷藏保鲜试验研究,续九如;  李华;  王继贵;  刘士月;  安靖; ,北京林业大学; ,枣果;  贮藏效果;  环境条件;  冷藏保鲜试验;  药物处理;  消毒方法; ,河南林业科技,1003-2630,1995 年 000 卷 003 期,7月10日,"对11个枣树品种进行了鲜果冷藏保鲜试验,证明不同品种贮藏效果不同.以耐贮性中等的金丝小枣为试材,采用多种消毒方法和保鲜处理.证明不同处理与对照冷藏效果差异不明显,说明金丝小枣保鲜贮藏的技术关键是低温、高湿的环境条件,药物处理可以简化.",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40021,西山焦枣增产技术,疏贵平; ,,技术总结;  枣树;  光照强度;  西山;  月平均温度;  制约因素;  生长期;  环境条件;  栽培管理;  抗逆性; ,安徽林业科技,2095-0152,2007 年 004 期,43,"西山焦枣耐寒、耐旱、耐瘠薄,耐盐碱,抗逆性强,但栽培管理不易.现将栽培技术总结如下.一、环境条件的要求1.温度.温度是西山焦枣栽培的一个重要制约因素.西山焦枣在月平均温度达到15~20℃时开始发芽,22~25℃时进入盛花期;而果实迅速生长期(7月下旬~8月下旬)要求24~25℃以上的温度,且昼夜温差要大.2.光照.枣树喜光,对光照强度的要求较高.",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40022,冬枣发展中存在的问题及建议,梁俊香;  潘凤龙; ,,栽培技术;  种苗;  环境条件;  问题;  冬枣;  采收;  贮藏保鲜;  发展; ,中国农村小康科技,1007-7774,2003 年 000 卷 007 期,17-18,,枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40023,环境条件对枣黑腐病发病程度的影响,李志清;  常聚普;  郭利民;  乔趁峰;  程国华; ,濮阳林科所; ,,河南农业,1006-950X,1994 年 02 期,8月9日,"枣黑腐病(又名枣褐斑病)是近几年来枣树上出现的一种新病害,在豫北枣区已成为严重影响枣产量和质量的一个主要因素。我们在对该病病原、发病规律进行研究的基础上,1990～1993年于河南濮阳又对环境条件与该病发病程度进行了调查研究。 一、树势与发病关系 于1992——1993年,我们选择立地条件相近、树龄相同而树势不同的枣树、随机调查枣果发病情况。见表1。 由表1可以看出,树势不同,该病发病程度有显著差异。树势弱病果率高且发病早;树势强发病率低且发病晚。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40024,环境条件对黄土丘陵区旱坡地枣树水分蒸腾的影响,卢桂宾; ,山西省林业科学研究院; ,温度;  枣树;  光照;  叶片蒸腾量;  湿度;  黄土丘陵区; ,东北林业大学学报,1000-5382,2001 年 29 卷 04 期,131-133,"以石楼木枣为试材 ,采用LI - 16 0 0稳定气孔计测试方法 ,对空气温度、光照和空气湿度与枣树叶片蒸发量的关系进行了研究。结果表明 ,晋西黄土丘陵区 ,枣树叶片蒸腾量与空气温湿度和光照具有显著相关性。由此建立起的回归方程为 : y =- 0 .746 +0 .0 76x1+0 .0 0 8x2 (其中a =- 0 .746 ,b1=0 .0 76 ,b2 =0 .0 0 8)。空气相对湿度与叶片蒸腾量的直线回归方程为 : y =3.5 2 4- 0 .0 41x(其中a =3.5 2 4,b =- 0 .0 41)。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40025,二代短枝冬枣栽培对外界环境条件的要求,王斌; ,天津市滨海新区大港农业服务中心林业工作站; ,,现代农村科技,1674-5329,2015 年 06 期,42-43,"二代短枝冬枣具有节间短,成枝弱,花叶大,发芽晚,好管理、易坐果、果型美、皮薄肉脆浓甜等优点,深受人们喜爱,是普通冬枣更新换代最优品种。但是,二代短枝冬枣除了具有这些优良特性也存在管理技术要求高、枝条脆硬愈合能力差、病虫危害重、易受冻害等问题。因此,在二代短枝冬枣丰产栽培中应严格按照外部环境条件变化实施相应技术管理措施,以达到实现稳产优质的目的。1温度二代短枝冬枣生长发育对温度反应比较敏感。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40026,生根剂和环境条件对枣嫩枝扦插生根的影响,沈程清;  曹尚银;  谢深喜;  郭俊英;  陈玉玲;  薛华柏;  司鹏; ,中国农业科学院郑州果树研究所;  湖南农业大学园艺园林学院; ,枣;  插穗;  生根率;  生根剂; ,江西农业学报,1001-8581,2008 年 20 卷 02 期,26-28,"以中枣1号、黄骅冬枣和七月鲜枣为试材,研究了不同条件下枣嫩枝扦插生根的效果。结果表明,生根剂类型是影响中枣1号嫩枝扦插育苗生根率高低的第一关键因子。国繁2号1000~2000 mg/L、处理30 s~1.5 h,生根率均为100%;ABT1生根剂最适浓度为1500 mg/L、处理0.5 h,生根率均为84.5%;ABT6生根剂最适浓度为500 mg/L、处理1 h,生根率均为51%;对照平均生根率为20.7%。不同处理都在珍珠岩+蛭石+河沙(1∶1∶1)混合基质中生根数最多;温度35~40℃、湿度90%~100%、70%光照的环境条件下生根率最高。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40027,枣扦插繁殖技术研究进展,黄雯;  王森;  郭红艳; ,中南林业科技大学林学院; ,扦插;  枣;  生根率;  硬枝;  嫩枝; ,中国果树,1000-8047,2015 年 02 期,64-70,"综述了枣扦插繁殖技术的研究现状,分析了影响枣扦插生根的主要因子,包括插穗种类、扦插基质、扦插时期、环境条件和激素处理,并对未来该领域的研究进行了展望,以期推进枣扦插繁殖的研究。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40028,骏枣园土壤养分与枣果实品质间的典型相关性分析,刘伟锋;  张磊;  杨文英;  赵文;  张梅;  魏喜喜;  杨智鹏;  马路婷;  王利娜;  王姝婧;  李建贵; ,新疆农业大学林业研究所; ,土壤养分;  果实品质;  骏枣;  典型相关分析; ,经济林研究,1003-8981,2021 年 39 卷 002 期,"104-114,122","[目的]了解骏枣园土壤养分与骏枣果实品质的关系,为选择枣果综合品质优良的骏枣适宜栽培区提供参考依据.[方法]选取代表着新疆骏枣主栽区不同生态类型的15个样点的土壤和骏枣果实样品作为研究材料,分别测定其土壤养分和枣果品质指标,并对两者关系进行典型相关分析和冗余分析.[结果]15个样点的土壤养分指标的变异系数为0.049~0.824,其整体变异程度较大;枣果实品质指标的变异系数为0.004~0.462,其整体变异程度较小.典型相关分析和冗余分析结果均表明,从土壤养分与枣果品质指标中共提取出6对相关性极显著的典型变量,6对典型变量一共解释了土壤养分指标自身变异的99.99%、枣果品质指标自身变异的65.17%的信息;土壤养分指标的典型变量反映了枣果实品质指标总变异的72.16%的信息,而枣果实品质指标的典型变量反映了土壤养分指标总变异的31.45%的信息.根据Ⅰ和Ⅲ对典型变量可知,土壤有机质与花青素的关系密切,在一定范围值内两者常呈正相关;根据Ⅱ和Ⅳ对典型变量可知,土壤pH值与总酚含量的关系密切,在一定范围值内两者常呈负相关;根据Ⅴ和Ⅵ对典型变量可知,土壤碱解氮与蛋白质的关系密切,在一定范围值内两者常呈负相关.综合分析6对典型变量的坐标图可知,枣果养分的积累,并不是从土壤中获得的养分越多就越好,而是有一定的阈值的;阿克苏和喀什地区的生态土壤环境更有利于骏枣营养物质的积累,进而能很好地促进骏枣综合果实品质的形成.[结论]不同枣园土壤养分各指标间含量差异较大,而果实品质各指标间含量差异较小;土壤养分与枣果品质指标内部和指标之间的关系均密切,土壤养分对果实品质有着显著的影响,土壤养分指标与果实品质指标之间存在不同程度的相关关系.因此,不同果实品质指标受土壤养分的影响程度各异;适宜的土壤养分含量及生态环境条件对骏枣果实综合品质的形成具有重要的促进作用.",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40029,果实开裂研究进展,李泓利;  刘港帅;  田慧琴;  傅达奇; ,中国农业大学食品科学与营养工程学院; ,水;  果皮特性;  影响因素;  遗传;  裂果;  环境;  栽培管理;  基因; ,生物工程学报,,2021 年 008 期,2737-2752,"裂果是果实中普遍发生的一种生理性病害,如番茄、甜樱桃、苹果、枣、石榴、荔枝等均易开裂,这会造成巨大的经济损失和农业资源浪费。裂果是由多种因素综合导致,内因主要为遗传和果实的自身特性,如果实大小、形状、生长速度、含水量、果皮特性、果实开裂相关基因表达情况等;外因主要为生长环境条件,如温度、光照、降水等,以及栽培管理方式,如灌溉、防晒、矿物质和生长调节剂的施用等。文中从以上方面对果实开裂的研究进展进行综述,以期为裂果机理的进一步研究和裂果的防控提供参考。",枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40030,枣树座果技术,宋宪军; ,河南省新郑市枣树研究所; ,,林业科技通讯,10021159,1996 年 04 期,,枣树座果技术枣树是多花树种，但座果率低，一般成熟果数仅为花朵总数的１％～２％。如果树体本身营养条件失调和遇到不良外界环境条件的影响，座果率会更低，常常是满树花，半树果，有的年份还会出现花而不实，影响产量的稳定和提高。枣花座果需要３个条件,枣树建园
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/D40031,鲜枣软化生理变化和关键影响因子的研究进展,高哲;  韩涛;  李红卫;  李丽萍; ,北京工商大学;  北京农学院食品科学系; ,贮藏;  枣;  软化;  生理; ,食品工业科技,1002-0306,2007 年 07 期,232-235,"果实的软化是一个非常复杂的发育调控过程,其间经历了一系列生理生化的变化。本文就鲜枣软化的研究进展进行了综述,包括与鲜枣软化过程相关的生理变化,即果皮和果肉颜色的变化、脱落酸和乙烯含量的变化、主要水解酶活性的变化、乙醇、LOX活性、AAO活性、PPO活性的变化和鲜枣软化过程中超微结构的变化,以及影响鲜枣软化过程的品种、成熟度和环境条件因素。",枣树建园
